'Timestamp', 'MON1 CL DDM (?A)', 'MON1 CL RF (dB)', 'MON1 DS DDM (?A)', 'MON1 DS RF (dB)', 'MON1 NF DDM (?A)', 'MON1 NF RF (dB)', 'MON1 CLR DDM (?A)', 'MON1 CLR RF (dB)','TEMP1', 'TEMP2', 'TRYKK', 'SIKT'
2022 01 29 07 22 32,2.60,0.26,1.45,0.23,-1.74,0.13,4.05,0.26,01,00,0988,9999
2022 01 29 07 27 32,2.60,0.25,1.16,0.22,-1.74,0.14,4.34,0.25,01,00,0988,9999
2022 01 29 07 32 33,2.60,0.25,1.16,0.23,-2.02,0.13,4.34,0.25,01,00,0988,9999
2022 01 29 07 37 33,2.60,0.25,1.45,0.22,-1.74,0.13,4.05,0.25,01,00,0988,9999
2022 01 29 07 42 34,2.60,0.25,1.45,0.22,-1.74,0.13,4.34,0.25,01,00,0988,9999
2022 01 29 07 47 34,2.60,0.25,1.16,0.22,-1.45,0.13,4.34,0.25,01,00,0988,9999
2022 01 29 07 52 34,2.60,0.25,1.45,0.22,-1.45,0.13,4.34,0.25,00,-00,0989,9999
2022 01 29 07 57 34,2.60,0.25,1.16,0.22,-1.16,0.12,4.34,0.25,00,-00,0989,9999
2022 01 29 08 02 35,2.60,0.25,1.16,0.22,-1.45,0.12,4.05,0.25,00,-00,0989,9999
2022 01 29 08 07 35,2.60,0.25,1.45,0.22,-1.16,0.12,4.34,0.25,00,-00,0989,9999
2022 01 29 08 12 35,2.60,0.25,1.45,0.22,-1.16,0.11,4.34,0.25,00,-00,0989,9999
2022 01 29 08 17 35,2.60,0.25,1.45,0.22,-1.16,0.11,4.34,0.25,00,-00,0989,9999
2022 01 29 08 22 36,2.60,0.25,1.45,0.22,-0.87,0.11,4.34,0.25,00,-00,0991,9999
2022 01 29 08 27 37,2.60,0.25,1.45,0.22,-0.87,0.11,4.63,0.25,00,-00,0991,9999
2022 01 29 08 32 37,2.60,0.25,1.45,0.22,-0.87,0.11,4.34,0.25,00,-00,0991,9999
2022 01 29 08 37 37,2.60,0.24,1.45,0.21,-0.87,0.11,4.34,0.24,00,-00,0991,9999
2022 01 29 08 42 37,2.60,0.24,1.16,0.21,-0.58,0.10,4.34,0.25,00,-00,0991,9999
2022 01 29 08 47 37,2.60,0.24,1.45,0.21,-0.58,0.10,4.34,0.24,00,-00,0991,9999
2022 01 29 08 52 37,2.60,0.24,1.16,0.21,-0.58,0.10,4.34,0.24,01,-01,0991,9999
2022 01 29 08 57 37,2.60,0.24,1.45,0.21,-0.58,0.10,4.34,0.24,01,-01,0991,9999
2022 01 29 09 02 38,2.89,0.24,1.45,0.21,-0.29,0.08,4.34,0.25,01,-01,0991,9999
