Timestamp,MON1 CL DDM (ｵA),MON1 CL RF (dB),MON1 DS DDM (ｵA),MON1 DS RF (dB),MON1 NF DDM (ｵA),MON1 NF RF (dB),MON1 CLR DDM (ｵA),MON1 CLR RF (dB)
2022-02-10 01:08:10,2.60,0.34,0.87,0.31,-0.87,0.19,3.47,0.34
2022-02-10 01:13:10,2.60,0.34,1.16,0.31,-1.16,0.19,3.76,0.34
2022-02-10 01:18:10,2.60,0.34,1.16,0.31,-1.16,0.19,3.76,0.33
2022-02-10 01:23:10,2.31,0.34,1.45,0.31,-1.16,0.19,3.76,0.33
2022-02-10 01:28:11,2.31,0.34,1.45,0.31,-1.16,0.19,4.05,0.32
2022-02-10 01:33:11,2.31,0.33,1.16,0.30,-1.16,0.18,4.05,0.32
2022-02-10 01:38:12,2.60,0.33,1.16,0.30,-1.16,0.17,4.05,0.32
2022-02-10 01:43:12,2.60,0.33,1.45,0.30,-1.16,0.18,4.05,0.32
2022-02-10 01:48:12,2.60,0.33,1.45,0.29,-1.16,0.19,4.34,0.32
2022-02-10 01:53:12,2.60,0.34,1.16,0.31,-1.16,0.18,3.76,0.34
2022-02-10 01:58:13,2.60,0.34,1.16,0.31,-1.16,0.17,3.76,0.34
2022-02-10 02:03:13,2.60,0.34,1.16,0.31,-1.16,0.18,3.76,0.34
2022-02-10 02:08:14,2.60,0.35,1.16,0.32,-1.16,0.19,3.76,0.34
2022-02-10 02:13:14,2.60,0.35,1.16,0.32,-1.16,0.21,3.76,0.34
2022-02-10 02:18:14,2.60,0.35,1.16,0.32,-1.16,0.21,3.76,0.35
2022-02-10 02:23:14,2.60,0.35,0.87,0.32,-1.16,0.18,3.76,0.35
2022-02-10 02:28:15,2.60,0.36,1.16,0.33,-1.16,0.18,3.47,0.36
2022-02-10 02:33:15,2.60,0.36,1.45,0.33,-1.16,0.18,3.76,0.35
2022-02-10 02:38:15,2.60,0.36,1.16,0.34,-1.16,0.19,2.89,0.36
2022-02-10 02:43:16,2.89,0.35,1.45,0.32,0.00,0.10,4.05,0.36
2022-02-10 02:48:16,2.89,0.38,0.87,0.35,0.29,0.05,3.47,0.37
2022-02-10 02:53:16,3.47,0.31,1.45,0.28,0.58,0.00,4.05,0.32
2022-02-10 02:58:17,3.47,0.31,2.02,0.26,-2.31,0.10,5.50,0.31
2022-02-10 03:03:17,3.47,0.32,2.31,0.27,-3.18,0.11,6.07,0.31
2022-02-10 03:08:17,3.47,0.31,2.31,0.26,-3.47,0.13,6.65,0.30
2022-02-10 03:13:17,3.47,0.32,2.31,0.27,-3.76,0.14,6.07,0.31
2022-02-10 03:18:17,3.18,0.31,2.31,0.26,-4.05,0.14,6.94,0.29
2022-02-10 03:23:18,3.47,0.31,2.02,0.26,-3.18,0.14,6.94,0.29
2022-02-10 03:28:18,3.47,0.31,2.02,0.26,-2.60,0.13,6.94,0.29
2022-02-10 03:33:18,3.47,0.31,2.31,0.25,-2.02,0.12,7.52,0.29
2022-02-10 03:38:18,3.47,0.31,2.31,0.25,-2.02,0.11,7.52,0.29
2022-02-10 03:43:19,3.47,0.30,2.31,0.25,-1.16,0.10,7.52,0.29
2022-02-10 03:48:19,3.76,0.29,2.31,0.24,-0.87,0.08,8.10,0.28
2022-02-10 03:53:19,3.47,0.29,2.60,0.24,-0.29,0.10,7.52,0.28
2022-02-10 03:58:20,3.18,0.29,2.31,0.24,-0.58,0.11,7.81,0.28
2022-02-10 04:03:20,3.47,0.29,2.60,0.25,-0.58,0.12,7.52,0.29
2022-02-10 04:08:20,3.47,0.30,2.31,0.25,-0.87,0.13,7.52,0.29
2022-02-10 04:13:21,3.47,0.30,2.60,0.25,-0.87,0.15,7.81,0.29
2022-02-10 04:18:21,3.47,0.30,2.60,0.25,-1.16,0.16,7.81,0.28
2022-02-10 04:23:21,3.18,0.30,2.60,0.25,-0.87,0.16,7.81,0.28
2022-02-10 04:28:22,3.18,0.30,2.60,0.25,-0.87,0.16,8.10,0.29
2022-02-10 04:33:22,3.18,0.31,2.60,0.25,-0.87,0.17,7.81,0.29
2022-02-10 04:38:22,3.18,0.31,2.31,0.26,-1.16,0.17,7.52,0.29
2022-02-10 04:43:22,3.18,0.31,2.31,0.26,-1.16,0.18,7.52,0.29
2022-02-10 04:48:23,3.18,0.31,2.31,0.26,-1.16,0.20,7.52,0.29
2022-02-10 04:53:23,3.18,0.31,2.60,0.26,-1.45,0.19,7.52,0.29
2022-02-10 04:58:24,2.89,0.31,2.02,0.26,-1.16,0.19,7.23,0.29
2022-02-10 05:03:24,3.18,0.31,2.02,0.27,-1.16,0.19,7.23,0.29
2022-02-10 05:08:25,2.89,0.32,2.02,0.28,-1.16,0.17,6.94,0.30
2022-02-10 05:13:25,2.89,0.33,2.02,0.29,-1.45,0.17,6.65,0.31
2022-02-10 05:18:25,2.89,0.34,1.74,0.30,-1.16,0.18,6.07,0.32
2022-02-10 05:23:25,2.89,0.35,1.74,0.31,-1.16,0.17,5.78,0.32
2022-02-10 05:28:26,2.60,0.36,1.45,0.32,-1.16,0.18,5.21,0.34
2022-02-10 05:33:26,2.89,0.34,2.02,0.30,-1.45,0.14,5.78,0.32
2022-02-10 05:38:26,3.47,0.31,2.31,0.25,-1.16,0.13,7.81,0.28
2022-02-10 05:43:26,3.47,0.31,2.60,0.25,-0.87,0.12,7.81,0.29
2022-02-10 05:48:27,3.47,0.30,2.60,0.25,-0.58,0.12,7.81,0.28
